Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
15,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,University College Dublin,Kildare
1,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,University of Limerick,Kildare
3,2018/2019,Ireland,(0915) Therapy and rehabilitation,Athlone IT,Kildare
20,2018/2019,Ireland,(0915) Therapy and rehabilitation,Dublin City University,Kildare
31,2018/2019,Ireland,(0915) Therapy and rehabilitation,IT Carlow,Kildare
10,2018/2019,Ireland,(0915) Therapy and rehabilitation,"National University of Ireland, Galway",Kildare
8,2018/2019,Ireland,(0915) Therapy and rehabilitation,Royal College of Surgeons,Kildare
8,2018/2019,Ireland,(0915) Therapy and rehabilitation,Technological University Dublin,Kildare
51,2018/2019,Ireland,(0915) Therapy and rehabilitation,Trinity College Dublin,Kildare
1,2018/2019,Ireland,(0915) Therapy and rehabilitation,University College Cork,Kildare
42,2018/2019,Ireland,(0915) Therapy and rehabilitation,University College Dublin,Kildare
9,2018/2019,Ireland,(0915) Therapy and rehabilitation,University of Limerick,Kildare
1,2018/2019,Ireland,(0916) Pharmacy,Athlone IT,Kildare
8,2018/2019,Ireland,(0916) Pharmacy,IT Carlow,Kildare
17,2018/2019,Ireland,(0916) Pharmacy,Royal College of Surgeons,Kildare
10,2018/2019,Ireland,(0916) Pharmacy,Technological University Dublin,Kildare
28,2018/2019,Ireland,(0916) Pharmacy,Trinity College Dublin,Kildare
2,2018/2019,Ireland,(0916) Pharmacy,University College Cork,Kildare
2,2018/2019,Ireland,(0920) Welfare not further defined or elsewhere classified,Dublin City University,Kildare
1,2018/2019,Ireland,(0920) Welfare not further defined or elsewhere classified,IT Carlow,Kildare
2,2018/2019,Ireland,(0920) Welfare not further defined or elsewhere classified,University College Cork,Kildare
3,2018/2019,Ireland,(0921) Care of the elderly and of disabled adults,Athlone IT,Kildare
71,2018/2019,Ireland,(0922) Child care and youth services,IT Carlow,Kildare
1,2018/2019,Ireland,(0922) Child care and youth services,IT Sligo,Kildare
1,2018/2019,Ireland,(0922) Child care and youth services,Limerick IT,Kildare
29,2018/2019,Ireland,(0922) Child care and youth services,Maynooth University,Kildare
10,2018/2019,Ireland,(0922) Child care and youth services,"National University of Ireland, Galway",Kildare
5,2018/2019,Ireland,(0922) Child care and youth services,Royal College of Surgeons,Kildare
21,2018/2019,Ireland,(0922) Child care and youth services,Technological University Dublin,Kildare
3,2018/2019,Ireland,(0922) Child care and youth services,University College Cork,Kildare
8,2018/2019,Ireland,(0922) Child care and youth services,Waterford IT,Kildare
4,2018/2019,Ireland,(0923) Social work and counselling,Athlone IT,Kildare
2,2018/2019,Ireland,(0923) Social work and counselling,Cork IT,Kildare
1,2018/2019,Ireland,(0923) Social work and counselling,Galway-Mayo IT,Kildare
130,2018/2019,Ireland,(0923) Social work and counselling,IT Carlow,Kildare
9,2018/2019,Ireland,(0923) Social work and counselling,IT Tralee,Kildare
3,2018/2019,Ireland,(0923) Social work and counselling,Limerick IT,Kildare
11,2018/2019,Ireland,(0923) Social work and counselling,Maynooth University,Kildare
3,2018/2019,Ireland,(0923) Social work and counselling,Royal College of Surgeons,Kildare
65,2018/2019,Ireland,(0923) Social work and counselling,Technological University Dublin,Kildare
15,2018/2019,Ireland,(0923) Social work and counselling,Trinity College Dublin,Kildare
14,2018/2019,Ireland,(0923) Social work and counselling,University College Dublin,Kildare
2,2018/2019,Ireland,(0923) Social work and counselling,University of Limerick,Kildare
5,2018/2019,Ireland,(0923) Social work and counselling,Waterford IT,Kildare
4,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Athlone IT,Kildare
2,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Cork IT,Kildare
3,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Dundalk IT,Kildare
6,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Galway-Mayo IT,Kildare
1,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",IT Tralee,Kildare
1,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Letterkenny IT,Kildare
88,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Technological University Dublin,Kildare
2,2018/2019,Ireland,"(1013) Hotel, restaurants and catering",Waterford IT,Kildare
15,2018/2019,Ireland,(1014) Sports,Athlone IT,Kildare
2,2018/2019,Ireland,(1014) Sports,Dundalk IT,Kildare
2,2018/2019,Ireland,(1014) Sports,Galway-Mayo IT,Kildare
30,2018/2019,Ireland,(1014) Sports,IT Carlow,Kildare
6,2018/2019,Ireland,(1014) Sports,IT Tralee,Kildare
9,2018/2019,Ireland,(1014) Sports,Limerick IT,Kildare
15,2018/2019,Ireland,(1014) Sports,Technological University Dublin,Kildare
2,2018/2019,Ireland,(1014) Sports,University of Limerick,Kildare
31,2018/2019,Ireland,(1014) Sports,Waterford IT,Kildare
1,2018/2019,Ireland,"(1015) Travel, tourism and leisure",Galway-Mayo IT,Kildare
47,2018/2019,Ireland,"(1015) Travel, tourism and leisure",Technological University Dublin,Kildare
1,2018/2019,Ireland,"(1015) Travel, tourism and leisure",Waterford IT,Kildare
2,2018/2019,Ireland,(1022) Occupational health and safety,"National University of Ireland, Galway",Kildare
11,2018/2019,Ireland,(1022) Occupational health and safety,Technological University Dublin,Kildare
1,2018/2019,Ireland,(1022) Occupational health and safety,University College Cork,Kildare
18,2018/2019,Ireland,(1022) Occupational health and safety,University College Dublin,Kildare
6,2018/2019,Ireland,(1030) Security services not further defined or elsewhere classified,Maynooth University,Kildare
68,2018/2019,Ireland,(1031) Military and defence,IT Carlow,Kildare
36,2018/2019,Ireland,(1031) Military and defence,Maynooth University,Kildare
9,2018/2019,Ireland,(1032) Protection of persons and property,IT Carlow,Kildare
1,2018/2019,Ireland,(1032) Protection of persons and property,Trinity College Dublin,Kildare
1,2018/2019,Ireland,(1041) Transport services,Cork IT,Kildare
4,2018/2019,Ireland,(1041) Transport services,Technological University Dublin,Kildare
2,2018/2019,Ireland,(0011) Basic programmes and qualifications,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0011) Basic programmes and qualifications,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0011) Basic programmes and qualifications,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0021) Literacy and numeracy,"Mary Immaculate College, Limerick",Kilkenny
1,2018/2019,Ireland,(0031) Personal skills and development,Trinity College Dublin,Kilkenny
1,2018/2019,Ireland,(0031) Personal skills and development,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,Dublin City University,Kilkenny
3,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,IT Carlow,Kilkenny
8,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,"Mary Immaculate College, Limerick",Kilkenny
1,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
2,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,University of Limerick,Kilkenny
5,2018/2019,Ireland,(0110) Education not further defined or elsewhere classified,Waterford IT,Kilkenny
3,2018/2019,Ireland,(0111) Education science,Cork IT,Kilkenny
33,2018/2019,Ireland,(0111) Education science,Dublin City University,Kilkenny
12,2018/2019,Ireland,(0111) Education science,IT Carlow,Kilkenny
3,2018/2019,Ireland,(0111) Education science,Limerick IT,Kilkenny
17,2018/2019,Ireland,(0111) Education science,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0111) Education science,"St. Angela's College of Home Economics, Sligo",Kilkenny
1,2018/2019,Ireland,(0111) Education science,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0111) Education science,Trinity College Dublin,Kilkenny
1,2018/2019,Ireland,(0111) Education science,University College Cork,Kilkenny
3,2018/2019,Ireland,(0111) Education science,University College Dublin,Kilkenny
2,2018/2019,Ireland,(0111) Education science,University of Limerick,Kilkenny
19,2018/2019,Ireland,(0111) Education science,Waterford IT,Kilkenny
5,2018/2019,Ireland,(0112) Training for pre-school teachers,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0112) Training for pre-school teachers,IT Carlow,Kilkenny
22,2018/2019,Ireland,(0112) Training for pre-school teachers,"Mary Immaculate College, Limerick",Kilkenny
2,2018/2019,Ireland,(0112) Training for pre-school teachers,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0112) Training for pre-school teachers,Technological University Dublin,Kilkenny
95,2018/2019,Ireland,(0113) Teacher training without subject specialization,Dublin City University,Kilkenny
40,2018/2019,Ireland,(0113) Teacher training without subject specialization,"Mary Immaculate College, Limerick",Kilkenny
12,2018/2019,Ireland,(0113) Teacher training without subject specialization,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0113) Teacher training without subject specialization,Waterford IT,Kilkenny
22,2018/2019,Ireland,(0114) Teacher training with subject specialization,Dublin City University,Kilkenny
16,2018/2019,Ireland,(0114) Teacher training with subject specialization,"Mary Immaculate College, Limerick",Kilkenny
10,2018/2019,Ireland,(0114) Teacher training with subject specialization,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0114) Teacher training with subject specialization,National College of Art and Design,Kilkenny
4,2018/2019,Ireland,(0114) Teacher training with subject specialization,"National University of Ireland, Galway",Kilkenny
23,2018/2019,Ireland,(0114) Teacher training with subject specialization,"St. Angela's College of Home Economics, Sligo",Kilkenny
4,2018/2019,Ireland,(0114) Teacher training with subject specialization,Trinity College Dublin,Kilkenny
15,2018/2019,Ireland,(0114) Teacher training with subject specialization,University College Cork,Kilkenny
6,2018/2019,Ireland,(0114) Teacher training with subject specialization,University College Dublin,Kilkenny
44,2018/2019,Ireland,(0114) Teacher training with subject specialization,University of Limerick,Kilkenny
3,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Cork IT,Kilkenny
34,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Dublin City University,Kilkenny
5,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Limerick IT,Kilkenny
23,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,"Mary Immaculate College, Limerick",Kilkenny
1,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Maynooth University,Kilkenny
4,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,National College of Art and Design,Kilkenny
34,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Technological University Dublin,Kilkenny
18,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
51,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,University College Cork,Kilkenny
13,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,University College Dublin,Kilkenny
22,2018/2019,Ireland,(0210) Arts not further defined or elsewhere classified,Waterford IT,Kilkenny
3,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Cork IT,Kilkenny
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Dublin City University,Kilkenny
7,2018/2019,Ireland,(0211) Audio-visual techniques and media production,"Dun Laoghaire Institute of Art, Design and Technology",Kilkenny
34,2018/2019,Ireland,(0211) Audio-visual techniques and media production,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Letterkenny IT,Kilkenny
5,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Technological University Dublin,Kilkenny
4,2018/2019,Ireland,(0211) Audio-visual techniques and media production,University College Cork,Kilkenny
1,2018/2019,Ireland,(0211) Audio-visual techniques and media production,Waterford IT,Kilkenny
2,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Cork IT,Kilkenny
7,2018/2019,Ireland,"(0212) Fashion, interior and industrial design","Dun Laoghaire Institute of Art, Design and Technology",Kilkenny
14,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",IT Carlow,Kilkenny
5,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Limerick IT,Kilkenny
1,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Maynooth University,Kilkenny
1,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",National College of Art and Design,Kilkenny
3,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Technological University Dublin,Kilkenny
10,2018/2019,Ireland,"(0212) Fashion, interior and industrial design",Waterford IT,Kilkenny
9,2018/2019,Ireland,(0213) Fine arts,Cork IT,Kilkenny
6,2018/2019,Ireland,(0213) Fine arts,"Dun Laoghaire Institute of Art, Design and Technology",Kilkenny
2,2018/2019,Ireland,(0213) Fine arts,Limerick IT,Kilkenny
4,2018/2019,Ireland,(0213) Fine arts,National College of Art and Design,Kilkenny
1,2018/2019,Ireland,(0213) Fine arts,Technological University Dublin,Kilkenny
2,2018/2019,Ireland,(0213) Fine arts,University College Dublin,Kilkenny
5,2018/2019,Ireland,(0213) Fine arts,Waterford IT,Kilkenny
4,2018/2019,Ireland,(0214) Handicrafts,Maynooth University,Kilkenny
9,2018/2019,Ireland,(0215) Music and performing arts,Cork IT,Kilkenny
1,2018/2019,Ireland,(0215) Music and performing arts,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0215) Music and performing arts,IT Sligo,Kilkenny
6,2018/2019,Ireland,(0215) Music and performing arts,Maynooth University,Kilkenny
3,2018/2019,Ireland,(0215) Music and performing arts,"National University of Ireland, Galway",Kilkenny
9,2018/2019,Ireland,(0215) Music and performing arts,Technological University Dublin,Kilkenny
6,2018/2019,Ireland,(0215) Music and performing arts,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0215) Music and performing arts,University College Cork,Kilkenny
1,2018/2019,Ireland,(0215) Music and performing arts,University College Dublin,Kilkenny
11,2018/2019,Ireland,(0215) Music and performing arts,University of Limerick,Kilkenny
3,2018/2019,Ireland,(0215) Music and performing arts,Waterford IT,Kilkenny
5,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,Dublin City University,Kilkenny
4,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,IT Carlow,Kilkenny
4,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
2,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,University College Cork,Kilkenny
39,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,University of Limerick,Kilkenny
2,2018/2019,Ireland,(0220) Humanities (except languages) not further defined or elsewhere classified,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0221) Religion and theology,"Mary Immaculate College, Limerick",Kilkenny
5,2018/2019,Ireland,(0222) History and archaeology,Maynooth University,Kilkenny
3,2018/2019,Ireland,(0222) History and archaeology,"National University of Ireland, Galway",Kilkenny
2,2018/2019,Ireland,(0222) History and archaeology,Trinity College Dublin,Kilkenny
2,2018/2019,Ireland,(0222) History and archaeology,University College Cork,Kilkenny
3,2018/2019,Ireland,(0222) History and archaeology,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0223) Philosophy and ethics,Trinity College Dublin,Kilkenny
2,2018/2019,Ireland,(0223) Philosophy and ethics,University College Cork,Kilkenny
15,2018/2019,Ireland,(0230) Languages not further defined or elsewhere classified,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0230) Languages not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0230) Languages not further defined or elsewhere classified,University College Cork,Kilkenny
5,2018/2019,Ireland,(0231) Language acquisition,Dublin City University,Kilkenny
2,2018/2019,Ireland,(0231) Language acquisition,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0231) Language acquisition,"National University of Ireland, Galway",Kilkenny
8,2018/2019,Ireland,(0231) Language acquisition,University College Cork,Kilkenny
8,2018/2019,Ireland,(0231) Language acquisition,University College Dublin,Kilkenny
4,2018/2019,Ireland,(0231) Language acquisition,University of Limerick,Kilkenny
2,2018/2019,Ireland,(0232) Literature and linguistics,Trinity College Dublin,Kilkenny
1,2018/2019,Ireland,(0232) Literature and linguistics,University College Cork,Kilkenny
14,2018/2019,Ireland,(0232) Literature and linguistics,University College Dublin,Kilkenny
3,2018/2019,Ireland,(0232) Literature and linguistics,University of Limerick,Kilkenny
58,2018/2019,Ireland,(0288) Interdisciplinary programmes and qualifications involving arts and humanities,Maynooth University,Kilkenny
4,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Athlone IT,Kilkenny
5,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,IT Carlow,Kilkenny
14,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Maynooth University,Kilkenny
4,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Technological University Dublin,Kilkenny
6,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
12,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,University College Cork,Kilkenny
1,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,University College Dublin,Kilkenny
3,2018/2019,Ireland,(0310) Social and behavioural sciences not further defined or elsewhere classified,University of Limerick,Kilkenny
2,2018/2019,Ireland,(0311) Economics,Technological University Dublin,Kilkenny
2,2018/2019,Ireland,(0311) Economics,University College Cork,Kilkenny
2,2018/2019,Ireland,(0311) Economics,University College Dublin,Kilkenny
7,2018/2019,Ireland,(0312) Political sciences and civics,Dublin City University,Kilkenny
3,2018/2019,Ireland,(0312) Political sciences and civics,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0312) Political sciences and civics,University College Cork,Kilkenny
6,2018/2019,Ireland,(0312) Political sciences and civics,University College Dublin,Kilkenny
3,2018/2019,Ireland,(0313) Psychology,Dublin City University,Kilkenny
3,2018/2019,Ireland,(0313) Psychology,"Dun Laoghaire Institute of Art, Design and Technology",Kilkenny
5,2018/2019,Ireland,(0313) Psychology,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0313) Psychology,Limerick IT,Kilkenny
2,2018/2019,Ireland,(0313) Psychology,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0313) Psychology,"National University of Ireland, Galway",Kilkenny
3,2018/2019,Ireland,(0313) Psychology,Trinity College Dublin,Kilkenny
6,2018/2019,Ireland,(0313) Psychology,University College Cork,Kilkenny
8,2018/2019,Ireland,(0313) Psychology,University College Dublin,Kilkenny
6,2018/2019,Ireland,(0313) Psychology,University of Limerick,Kilkenny
20,2018/2019,Ireland,(0313) Psychology,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0314) Sociology and cultural studies,Dublin City University,Kilkenny
5,2018/2019,Ireland,(0314) Sociology and cultural studies,IT Carlow,Kilkenny
7,2018/2019,Ireland,(0314) Sociology and cultural studies,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0314) Sociology and cultural studies,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0314) Sociology and cultural studies,University College Cork,Kilkenny
7,2018/2019,Ireland,(0314) Sociology and cultural studies,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0314) Sociology and cultural studies,University of Limerick,Kilkenny
3,2018/2019,Ireland,(0321) Journalism and reporting,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0321) Journalism and reporting,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0321) Journalism and reporting,Technological University Dublin,Kilkenny
3,2018/2019,Ireland,(0321) Journalism and reporting,University of Limerick,Kilkenny
1,2018/2019,Ireland,"(0322) Library, information and archival studies",University College Dublin,Kilkenny
5,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Athlone IT,Kilkenny
1,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Cork IT,Kilkenny
25,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Galway-Mayo IT,Kilkenny
18,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,IT Carlow,Kilkenny
3,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Letterkenny IT,Kilkenny
1,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Limerick IT,Kilkenny
2,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Maynooth University,Kilkenny
23,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
9,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
52,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,University College Cork,Kilkenny
44,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,University College Dublin,Kilkenny
74,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,University of Limerick,Kilkenny
11,2018/2019,Ireland,(0410) Business and administration not further defined or elsewhere classified,Waterford IT,Kilkenny
2,2018/2019,Ireland,(0411) Accounting and taxation,Cork IT,Kilkenny
7,2018/2019,Ireland,(0411) Accounting and taxation,Dublin City University,Kilkenny
20,2018/2019,Ireland,(0411) Accounting and taxation,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0411) Accounting and taxation,Limerick IT,Kilkenny
1,2018/2019,Ireland,(0411) Accounting and taxation,Maynooth University,Kilkenny
10,2018/2019,Ireland,(0411) Accounting and taxation,University College Cork,Kilkenny
2,2018/2019,Ireland,(0411) Accounting and taxation,University College Dublin,Kilkenny
21,2018/2019,Ireland,(0411) Accounting and taxation,Waterford IT,Kilkenny
2,2018/2019,Ireland,"(0412) Finance, banking and insurance",Dublin City University,Kilkenny
2,2018/2019,Ireland,"(0412) Finance, banking and insurance",Galway-Mayo IT,Kilkenny
37,2018/2019,Ireland,"(0412) Finance, banking and insurance",IT Sligo,Kilkenny
8,2018/2019,Ireland,"(0412) Finance, banking and insurance",Maynooth University,Kilkenny
9,2018/2019,Ireland,"(0412) Finance, banking and insurance",University College Cork,Kilkenny
1,2018/2019,Ireland,"(0412) Finance, banking and insurance",University College Dublin,Kilkenny
2,2018/2019,Ireland,"(0412) Finance, banking and insurance",University of Limerick,Kilkenny
4,2018/2019,Ireland,"(0412) Finance, banking and insurance",Waterford IT,Kilkenny
1,2018/2019,Ireland,(0413) Management and administration,Athlone IT,Kilkenny
7,2018/2019,Ireland,(0413) Management and administration,Cork IT,Kilkenny
3,2018/2019,Ireland,(0413) Management and administration,Dublin City University,Kilkenny
68,2018/2019,Ireland,(0413) Management and administration,IT Carlow,Kilkenny
2,2018/2019,Ireland,(0413) Management and administration,Limerick IT,Kilkenny
14,2018/2019,Ireland,(0413) Management and administration,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0413) Management and administration,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0413) Management and administration,"St. Angela's College of Home Economics, Sligo",Kilkenny
10,2018/2019,Ireland,(0413) Management and administration,Technological University Dublin,Kilkenny
3,2018/2019,Ireland,(0413) Management and administration,Trinity College Dublin,Kilkenny
1,2018/2019,Ireland,(0413) Management and administration,University College Cork,Kilkenny
25,2018/2019,Ireland,(0413) Management and administration,University College Dublin,Kilkenny
5,2018/2019,Ireland,(0413) Management and administration,University of Limerick,Kilkenny
177,2018/2019,Ireland,(0413) Management and administration,Waterford IT,Kilkenny
7,2018/2019,Ireland,(0414) Marketing and advertising,Cork IT,Kilkenny
1,2018/2019,Ireland,(0414) Marketing and advertising,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0414) Marketing and advertising,Galway-Mayo IT,Kilkenny
6,2018/2019,Ireland,(0414) Marketing and advertising,IT Carlow,Kilkenny
3,2018/2019,Ireland,(0414) Marketing and advertising,Limerick IT,Kilkenny
6,2018/2019,Ireland,(0414) Marketing and advertising,Technological University Dublin,Kilkenny
5,2018/2019,Ireland,(0414) Marketing and advertising,University College Cork,Kilkenny
6,2018/2019,Ireland,(0414) Marketing and advertising,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0414) Marketing and advertising,University of Limerick,Kilkenny
18,2018/2019,Ireland,(0414) Marketing and advertising,Waterford IT,Kilkenny
39,2018/2019,Ireland,(0416) Wholesale and retail sales,IT Carlow,Kilkenny
4,2018/2019,Ireland,(0416) Wholesale and retail sales,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0416) Wholesale and retail sales,Waterford IT,Kilkenny
5,2018/2019,Ireland,(0417) Work skills,IT Carlow,Kilkenny
16,2018/2019,Ireland,(0417) Work skills,Waterford IT,Kilkenny
3,2018/2019,Ireland,(0421) Law,Dublin City University,Kilkenny
41,2018/2019,Ireland,(0421) Law,IT Carlow,Kilkenny
10,2018/2019,Ireland,(0421) Law,Maynooth University,Kilkenny
5,2018/2019,Ireland,(0421) Law,"National University of Ireland, Galway",Kilkenny
3,2018/2019,Ireland,(0421) Law,Technological University Dublin,Kilkenny
14,2018/2019,Ireland,(0421) Law,Trinity College Dublin,Kilkenny
17,2018/2019,Ireland,(0421) Law,University College Cork,Kilkenny
12,2018/2019,Ireland,(0421) Law,University College Dublin,Kilkenny
15,2018/2019,Ireland,(0421) Law,University of Limerick,Kilkenny
34,2018/2019,Ireland,(0421) Law,Waterford IT,Kilkenny
9,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Cork IT,Kilkenny
5,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Dublin City University,Kilkenny
11,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,IT Carlow,Kilkenny
11,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
9,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,Kilkenny
7,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
19,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,University College Cork,Kilkenny
1,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,University College Dublin,Kilkenny
6,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,University of Limerick,Kilkenny
11,2018/2019,Ireland,(0510) Biological and related sciences not further defined or elsewhere classified,Waterford IT,Kilkenny
5,2018/2019,Ireland,(0511) Biology,Athlone IT,Kilkenny
8,2018/2019,Ireland,(0511) Biology,Dublin City University,Kilkenny
2,2018/2019,Ireland,(0511) Biology,Galway-Mayo IT,Kilkenny
1,2018/2019,Ireland,(0511) Biology,IT Sligo,Kilkenny
1,2018/2019,Ireland,(0511) Biology,Limerick IT,Kilkenny
11,2018/2019,Ireland,(0511) Biology,Maynooth University,Kilkenny
29,2018/2019,Ireland,(0511) Biology,University College Cork,Kilkenny
1,2018/2019,Ireland,(0511) Biology,University College Dublin,Kilkenny
7,2018/2019,Ireland,(0511) Biology,University of Limerick,Kilkenny
12,2018/2019,Ireland,(0511) Biology,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0512) Biochemistry,Cork IT,Kilkenny
1,2018/2019,Ireland,(0512) Biochemistry,Dublin City University,Kilkenny
4,2018/2019,Ireland,(0512) Biochemistry,IT Carlow,Kilkenny
2,2018/2019,Ireland,(0512) Biochemistry,Technological University Dublin,Kilkenny
2,2018/2019,Ireland,(0512) Biochemistry,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0512) Biochemistry,University College Cork,Kilkenny
